open_time_ms,open,high,low,close,volume,close_time_ms
1761413400000,3933.5,3935.54,3930.62,3932.84,683.5758,1761414299999
1761414300000,3932.84,3934.96,3931.0,3934.67,1003.0027,1761415199999
1761415200000,3934.67,3938.0,3929.3,3938.0,1027.7625,1761416099999
1761416100000,3938.0,3946.45,3936.4,3945.56,1304.2053,1761416999999
1761417000000,3945.55,3969.22,3945.55,3961.75,8346.378,1761417899999
1761417900000,3961.75,3963.94,3954.69,3959.68,1626.9498,1761418799999
1761418800000,3959.68,3960.15,3951.32,3952.9,1844.9435,1761419699999
1761419700000,3952.9,3961.23,3952.89,3958.0,1649.8982,1761420599999
1761420600000,3957.99,3963.72,3957.98,3961.39,717.0809,1761421499999
1761421500000,3961.4,3961.95,3955.57,3957.43,777.1533,1761422399999
1761422400000,3957.44,3959.32,3956.54,3957.01,478.2343,1761423299999
1761423300000,3957.01,3958.35,3950.79,3953.1,795.96,1761424199999
1761424200000,3953.1,3957.66,3944.2,3953.01,1543.3197,1761425099999
1761425100000,3953.01,3955.99,3945.45,3945.46,888.1021,1761425999999
1761426000000,3945.45,3949.39,3944.25,3944.59,993.3692,1761426899999
1761426900000,3944.59,3947.59,3935.82,3946.85,1681.8731,1761427799999
1761427800000,3946.86,3950.98,3946.4,3948.62,1025.6193,1761428699999
1761428700000,3948.63,3952.49,3943.1,3952.49,546.2731,1761429599999
1761429600000,3952.48,3952.53,3946.5,3948.95,953.4075,1761430499999
1761430500000,3948.95,3954.7,3948.5,3954.22,716.3288,1761431399999
1761431400000,3954.22,3957.51,3952.72,3957.5,791.1847,1761432299999
1761432300000,3957.51,3964.76,3955.97,3961.56,1562.1508,1761433199999
1761433200000,3961.57,3963.93,3958.38,3960.74,765.6067,1761434099999
1761434100000,3960.74,3960.92,3953.99,3957.59,740.9999,1761434999999
1761435000000,3957.58,3957.59,3952.61,3952.61,490.8201,1761435899999
1761435900000,3952.61,3954.9,3950.47,3953.82,831.2747,1761436799999
1761436800000,3953.81,3953.82,3946.47,3949.51,857.3806,1761437699999
1761437700000,3949.52,3957.7,3947.76,3955.08,1472.823,1761438599999
1761438600000,3955.08,3961.87,3955.07,3957.24,3088.4976,1761439499999
1761439500000,3957.25,3960.0,3949.65,3950.27,2704.1972,1761440399999
1761440400000,3950.27,3955.85,3948.33,3953.8,1901.2385,1761441299999
1761441300000,3953.81,3954.73,3949.03,3950.99,1360.0439,1761442199999
